year,lga_id,lga,state,zone,lat,lon,pop_6_11,urban,poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,tasso_fuori_scuola,divario_genere_pp,tasso_fuori_scuola_f,tasso_fuori_scuola_m,target_oos_t1,bambini_fuori_scuola
2025,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,72.445,49.637,3.663,71.963,35.111,26.441,28.098,1,58.873,30.533,36.548,29.749,40.746,3.38,42.607,39.223,,25291
2020,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,80.81,55.711,3.271,26.608,44.299,46.128,18.381,1,50.749,27.179,63.995,16.762,32.701,3.45,34.601,31.147,29.38,14727
2021,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,75.501,55.235,0.832,32.019,40.199,47.88,33.725,2,44.065,6.321,58.274,25.852,29.38,-3.0,27.73,30.73,21.125,13231
2022,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,76.105,61.976,3.428,18.961,55.284,45.809,9.098,1,58.046,0.866,75.562,30.493,21.125,-1.07,20.54,21.605,32.283,9514
2023,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,68.233,52.022,4.689,31.145,58.872,63.801,16.178,3,56.196,9.255,74.17,10.877,32.283,0.26,32.428,32.165,19.712,14539
2024,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,66.652,48.385,3.005,44.443,44.568,57.499,25.786,1,48.449,12.79,45.403,22.352,19.712,-0.45,19.464,19.915,33.258,8877
2025,59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,57.716,74.167,3.094,20.7,30.701,57.798,31.57,1,65.362,23.659,77.609,31.545,33.258,1.17,33.901,32.732,,14978
2020,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,88.656,32.337,3.45,38.86,42.056,47.655,29.892,3,48.277,19.748,30.137,13.828,44.331,0.59,44.654,44.066,53.352,32418
2021,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,90.877,25.689,5.29,66.791,25.908,40.917,19.471,7,75.341,48.173,67.487,20.759,53.352,2.4,54.672,52.272,55.451,39015
2022,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,87.907,40.084,4.29,49.038,24.346,32.944,28.735,4,59.811,21.259,55.743,11.796,55.451,1.17,56.096,54.924,40.635,40551
2023,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,84.45,37.074,2.123,74.148,50.364,51.334,26.288,5,75.51,22.781,54.143,15.051,40.635,-1.7,39.702,41.398,49.288,29715
2024,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,82.823,27.046,4.531,47.684,39.895,29.341,26.098,5,61.327,29.648,42.249,48.211,49.288,1.65,50.195,48.546,45.69,36043
2025,59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,89.098,52.178,3.393,47.563,52.383,26.534,32.61,3,76.628,12.399,43.567,11.029,45.69,1.75,46.654,44.901,,33412
2020,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,84.206,50.828,3.824,67.095,45.169,47.398,22.011,5,64.364,25.322,45.802,10.205,49.336,2.3,50.602,48.301,36.205,6775
2021,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,73.688,55.079,1.673,56.073,45.754,60.913,26.137,5,64.378,34.731,51.202,25.938,36.205,2.31,37.473,35.168,25.469,4972
2022,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,75.58,35.733,3.164,54.819,40.019,50.426,19.714,7,60.021,7.228,89.978,20.16,25.469,1.17,26.111,24.944,44.019,3498
2023,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,71.087,42.52,3.275,63.581,35.182,47.596,28.238,9,69.841,14.865,58.113,21.79,44.019,-1.55,43.165,44.717,40.077,6045
2024,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,73.736,58.259,2.859,62.681,32.022,62.227,25.125,6,54.74,29.396,79.062,19.86,40.077,3.13,41.801,38.667,46.172,5504
2025,59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,71.491,55.661,2.735,59.342,28.609,61.318,23.213,10,84.003,27.673,72.705,28.913,46.172,0.35,46.366,46.013,,6341
2020,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,88.85,28.878,5.068,58.883,34.913,35.762,31.288,1,42.567,22.976,38.541,37.323,49.773,2.49,51.142,48.653,43.507,30054
2021,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,97.988,35.169,3.082,65.468,36.462,26.634,21.519,4,64.679,31.422,30.405,15.014,43.507,0.2,43.615,43.418,49.735,26270
2022,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,85.94,24.48,4.795,57.097,41.802,44.257,25.292,0,46.373,34.945,39.409,16.073,49.735,0.45,49.983,49.532,41.778,30031
2023,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,74.383,33.009,4.341,62.695,40.949,31.045,30.656,4,50.248,29.438,16.127,11.386,41.778,1.14,42.405,41.264,44.724,25226
2024,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,78.708,31.003,5.074,66.001,43.717,40.248,39.737,2,47.411,38.909,50.194,16.263,44.724,1.42,45.505,44.085,44.341,27005
2025,59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,87.942,40.661,3.886,58.468,31.204,30.83,22.372,1,86.235,43.24,52.397,19.407,44.341,0.13,44.413,44.282,,26774
2020,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,63.039,87.102,3.208,40.459,64.271,71.879,16.704,0,49.218,0.0,68.459,21.218,19.612,0.98,20.15,19.173,12.179,10602
2021,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,59.901,99.0,1.343,30.139,72.757,74.173,6.872,0,52.838,0.0,83.464,23.79,12.179,0.06,12.212,12.151,12.837,6583
2022,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,64.183,95.88,1.167,37.91,80.377,89.463,7.492,0,47.194,0.377,95.425,14.699,12.837,-1.78,11.857,13.639,12.908,6939
2023,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,61.7,87.624,0.554,52.137,93.075,69.124,6.133,0,60.173,0.0,90.119,14.849,12.908,-1.94,11.844,13.779,13.348,6978
2024,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,59.358,83.636,0.2,42.59,68.5,91.502,4.238,1,51.656,0.0,92.16,22.997,13.348,-2.54,11.949,14.492,20.359,7215
2025,59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,59.151,98.785,2.259,46.671,83.605,70.231,0.5,0,68.987,0.0,89.194,41.507,20.359,-3.0,18.709,21.709,,11005
2020,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,49.237,82.303,0.314,28.107,80.439,99.0,3.337,0,48.383,3.279,99.0,28.46,0.8,-1.54,0.5,1.492,7.892,620
2021,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,52.183,86.57,0.927,37.374,80.042,91.056,15.659,0,58.9,4.185,99.0,15.112,7.892,-2.22,6.67,8.892,0.8,6117
2022,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,52.777,88.402,0.694,46.852,63.03,70.047,0.91,1,15.463,0.0,99.0,23.858,0.8,-0.3,0.635,0.935,10.426,620
2023,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,57.362,80.282,0.652,19.257,64.846,99.0,0.5,0,55.904,0.0,77.883,20.348,10.426,0.19,10.533,10.338,11.235,8081
2024,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,53.48,70.528,2.083,42.028,80.471,99.0,1.022,1,35.553,0.0,98.095,37.663,11.235,-0.15,11.155,11.301,0.91,8708
2025,59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,63.824,86.803,0.716,36.636,91.34,99.0,14.604,0,22.649,7.281,92.721,47.349,0.91,-1.78,0.5,1.711,,706
2020,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,71.117,92.628,0.3,28.456,71.044,71.2,13.091,2,18.794,0.587,84.784,19.522,15.736,-0.65,15.378,16.03,9.147,7563
2021,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,74.826,75.928,0.27,23.622,53.934,89.208,0.7,0,45.686,0.0,73.193,19.86,9.147,-0.14,9.07,9.209,5.579,4396
2022,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,63.882,86.393,0.858,24.547,78.138,54.629,8.984,0,58.013,0.0,76.362,14.65,5.579,-1.28,4.877,6.153,20.088,2681
2023,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,70.876,83.472,0.483,30.093,90.702,53.367,13.214,2,39.972,0.0,50.785,25.44,20.088,-3.0,18.438,21.438,11.456,9655
2024,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,63.959,88.281,0.2,16.512,62.491,91.435,15.166,0,40.949,1.183,90.71,27.234,11.456,0.6,11.783,11.188,11.419,5506
2025,59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,67.118,99.0,1.587,33.866,66.011,64.108,4.741,0,32.583,0.0,63.55,38.771,11.419,-0.42,11.187,11.609,,5489
2020,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,87.867,62.707,3.958,74.197,47.594,32.937,21.111,7,67.721,31.003,43.718,10.318,51.209,-0.2,51.1,51.298,48.722,33487
2021,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,87.317,46.219,3.703,47.419,27.888,55.18,42.48,2,51.277,39.53,63.099,17.64,48.722,-0.08,48.679,48.758,37.362,31861
2022,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,71.892,49.873,4.738,71.077,20.884,61.303,24.3,6,73.785,24.99,62.158,23.753,37.362,1.69,38.291,36.602,37.764,24432
2023,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,67.081,45.096,2.544,59.303,49.028,29.556,19.908,3,55.495,11.493,57.671,32.248,37.764,1.19,38.42,37.227,34.678,24695
2024,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,85.667,49.636,2.903,64.226,40.299,53.959,23.564,4,68.026,15.842,55.237,19.724,34.678,1.55,35.531,33.98,32.942,22677
2025,59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,84.576,56.225,4.318,64.12,63.956,74.261,14.166,3,73.56,14.564,64.46,16.216,32.942,3.75,35.003,31.256,,21542
2020,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,66.424,88.956,0.5,48.228,50.583,76.516,5.696,0,30.447,0.0,61.812,15.694,20.291,-0.29,20.133,20.419,14.413,4774
2021,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,44.196,72.518,1.531,37.394,63.712,82.208,7.027,0,29.063,12.478,74.905,30.68,14.413,-1.41,13.637,15.048,23.068,3391
2022,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,53.628,84.979,1.234,46.031,82.586,80.874,23.269,0,69.71,13.221,87.653,22.961,23.068,0.36,23.265,22.906,14.753,5428
2023,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,61.999,60.625,1.061,53.708,67.06,72.031,19.665,0,39.08,3.903,78.309,37.484,14.753,1.22,15.422,14.206,21.891,3471
2024,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,57.416,85.79,3.197,38.864,68.595,83.46,4.209,1,20.501,0.023,89.022,28.993,21.891,1.12,22.509,21.387,16.877,5151
2025,59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,62.169,93.225,0.2,40.093,54.251,99.0,13.46,0,48.78,12.64,93.163,17.479,16.877,0.94,17.397,16.452,,3971
2020,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,64.459,78.234,2.31,17.889,63.81,74.361,7.056,0,31.296,1.716,71.848,19.483,18.111,-3.0,16.461,19.461,17.282,10242
2021,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,55.985,86.644,0.694,27.968,63.786,74.176,13.282,1,50.157,6.499,70.627,38.934,17.282,-0.35,17.092,17.437,16.391,9774
2022,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,68.214,85.233,2.94,29.77,97.85,74.378,4.073,0,26.578,0.0,83.084,29.371,16.391,-0.5,16.114,16.617,18.917,9269
2023,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,63.013,71.203,1.542,24.017,60.502,66.482,12.739,1,32.813,3.465,82.839,30.188,18.917,0.14,18.996,18.853,9.533,10698
2024,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,68.88,94.94,0.2,23.461,84.052,89.677,16.922,0,30.431,1.943,99.0,32.989,9.533,-3.0,7.883,10.883,10.01,5391
2025,59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,60.053,90.667,1.741,26.213,85.019,67.807,0.5,1,26.41,3.557,69.935,17.455,10.01,-0.79,9.574,10.366,,5661
2020,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,81.4,90.973,1.418,46.617,37.256,55.83,12.18,0,45.524,3.11,75.688,18.638,24.692,-1.57,23.827,25.399,19.963,6734
2021,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,60.52,82.029,3.172,46.674,71.935,52.822,16.694,2,86.453,2.914,74.061,34.907,19.963,0.45,20.208,19.762,15.226,5444
2022,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,74.658,78.373,0.572,28.673,92.902,52.102,0.822,1,55.124,0.0,63.287,39.161,15.226,-1.61,14.341,15.95,26.286,4152
2023,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,79.696,67.501,1.793,41.376,55.317,63.588,6.891,0,54.629,0.0,49.444,29.601,26.286,-1.62,25.395,27.014,21.926,7169
2024,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,75.442,72.765,0.2,27.853,55.812,57.088,17.0,0,32.641,0.0,88.469,23.173,21.926,-0.38,21.715,22.098,22.407,5980
2025,59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,73.831,74.471,3.076,41.227,64.899,69.917,18.946,1,52.512,11.818,91.585,23.452,22.407,-1.99,21.313,23.302,,6111
2020,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,88.506,48.015,3.805,76.055,28.741,37.025,26.147,2,81.419,11.351,49.197,13.772,61.279,-0.14,61.2,61.343,48.293,19519
2021,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,90.18,49.922,5.426,48.98,52.042,51.675,31.565,7,62.279,31.795,30.569,21.14,48.293,0.7,48.678,47.978,60.572,15382
2022,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,99.0,47.835,4.64,59.003,31.161,44.697,27.441,5,61.005,46.61,57.488,27.32,60.572,1.43,61.358,59.929,51.559,19293
2023,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,89.88,53.014,3.824,60.179,38.878,48.041,36.509,7,47.846,31.469,68.898,13.795,51.559,2.21,52.773,50.566,54.215,16423
2024,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,99.0,66.852,4.577,55.749,19.598,58.284,29.239,2,68.645,22.872,41.463,30.851,54.215,-0.56,53.907,54.466,51.37,17269
2025,59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,77.594,35.596,5.235,36.708,41.628,55.733,24.978,5,44.951,35.048,35.469,31.578,51.37,3.69,53.397,49.711,,16362
2020,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,64.35,46.131,1.359,60.459,30.886,52.773,16.889,3,36.741,4.56,63.13,10.583,31.191,3.26,32.984,29.724,36.172,12775
2021,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,75.182,64.16,3.382,51.042,46.705,81.348,19.384,0,64.056,26.026,58.096,33.621,36.172,-2.59,34.745,37.339,21.853,14815
2022,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,69.187,58.921,1.126,32.647,55.119,59.189,18.279,4,53.815,26.489,67.297,26.037,21.853,0.52,22.138,21.619,29.732,8950
2023,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,66.404,67.585,4.841,46.65,54.249,68.196,20.098,1,38.656,12.126,63.831,20.614,29.732,-0.17,29.639,29.808,32.075,12177
2024,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,77.807,58.544,3.564,34.423,70.858,81.007,28.324,3,74.859,7.716,72.772,12.993,32.075,0.71,32.467,31.755,35.816,13137
2025,59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,84.379,75.004,3.513,37.096,34.395,53.783,11.873,0,63.004,28.608,75.182,29.894,35.816,-0.97,35.283,36.253,,14669
2020,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,76.036,58.033,4.021,53.247,43.47,63.061,16.93,0,59.037,8.558,59.704,16.733,31.339,-0.64,30.987,31.627,33.504,5827
2021,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,62.511,37.528,3.477,49.241,35.452,57.134,17.707,2,40.621,1.33,63.714,15.153,33.504,2.49,34.872,32.385,29.755,6230
2022,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,67.252,65.077,1.34,32.643,48.246,69.253,22.921,0,31.529,13.259,64.185,13.369,29.755,0.25,29.895,29.641,35.186,5533
2023,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,79.959,63.157,3.583,45.686,36.474,73.659,26.068,1,55.228,9.641,75.037,15.767,35.186,0.71,35.577,34.866,28.026,6542
2024,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,75.682,51.521,2.003,38.734,61.119,61.807,8.646,3,60.449,10.553,67.617,20.818,28.026,2.01,29.132,27.121,35.263,5211
2025,59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,73.551,63.65,2.895,34.297,41.686,51.589,19.639,2,74.358,6.991,87.743,34.652,35.263,4.34,37.648,33.311,,6557
2020,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,96.603,39.986,5.254,71.902,21.974,48.652,33.343,2,70.786,44.843,39.482,12.735,59.075,2.02,60.189,58.164,56.522,61854
2021,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,82.936,29.808,3.236,49.333,25.975,48.209,40.588,4,38.326,26.809,49.143,9.604,56.522,0.61,56.86,56.245,59.868,59180
2022,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,90.468,38.703,5.676,44.464,36.605,49.537,33.238,4,59.186,41.191,62.624,17.196,59.868,2.72,61.363,58.644,51.76,62683
2023,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,87.873,49.286,3.258,67.69,18.929,22.903,27.771,2,52.246,30.651,39.533,15.634,51.76,0.86,52.233,51.373,40.89,54194
2024,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,79.037,47.556,2.895,65.96,21.001,27.548,35.386,1,53.727,26.699,62.633,24.051,40.89,2.31,42.159,39.852,51.956,42813
2025,59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,91.399,33.832,4.292,67.652,25.651,36.068,22.238,0,74.984,37.894,46.328,19.71,51.956,2.89,53.546,50.655,,54400
2020,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,88.929,49.617,3.834,87.962,66.374,53.255,18.786,1,65.367,30.448,68.389,13.074,38.172,-0.47,37.911,38.386,53.48,20045
2021,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,88.379,41.347,3.606,78.202,18.313,50.439,31.593,1,64.311,27.516,68.133,11.197,53.48,0.96,54.008,53.048,40.43,28083
2022,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,80.083,35.973,2.027,85.975,32.192,73.889,25.208,0,69.799,29.27,41.763,8.539,40.43,1.25,41.118,39.868,48.622,21231
2023,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,86.409,49.822,3.082,73.01,39.664,51.382,26.322,2,73.632,14.765,48.425,13.863,48.622,0.21,48.736,48.529,32.403,25532
2024,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,86.729,46.619,1.367,57.632,24.582,54.732,21.871,0,78.627,34.66,47.963,14.78,32.403,1.12,33.022,31.897,39.479,17016
2025,59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,80.911,43.398,4.053,58.981,33.247,58.993,27.718,2,71.135,26.93,68.772,22.701,39.479,-1.96,38.402,40.36,,20731
2020,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,68.215,72.212,2.092,24.407,59.713,63.086,15.138,3,56.62,8.715,66.44,27.635,27.324,0.68,27.697,27.019,25.888,11614
2021,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,70.421,91.43,4.722,49.957,54.224,79.533,8.435,1,58.275,0.0,61.987,53.213,25.888,0.85,26.354,25.506,20.307,11003
2022,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,82.487,83.073,3.264,28.855,62.232,64.48,5.43,3,54.204,3.614,97.927,22.955,20.307,-1.55,19.455,21.005,26.803,8631
2023,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,73.539,87.037,1.062,37.549,54.33,75.16,26.076,1,66.412,7.959,75.355,43.172,26.803,1.02,27.362,26.346,19.373,11393
2024,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,66.375,77.563,2.676,48.196,73.146,44.427,6.237,0,78.024,3.634,85.612,43.939,19.373,-2.48,18.009,20.489,18.474,8234
2025,59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,67.319,72.602,0.2,38.81,55.572,70.368,17.612,0,53.85,1.316,92.971,29.356,18.474,-0.32,18.295,18.62,,7852
2020,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,93.45,46.667,4.612,70.055,35.783,44.625,33.197,2,55.349,48.111,26.674,10.514,50.479,0.04,50.503,50.459,53.206,8869
2021,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,89.964,44.842,4.741,73.003,31.254,50.035,40.688,0,68.291,44.208,63.024,17.31,53.206,2.87,54.784,51.915,59.05,9348
2022,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,85.007,34.629,6.092,74.11,35.302,45.863,37.362,1,36.588,30.192,50.407,28.863,59.05,0.87,59.528,58.659,53.044,10375
2023,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,89.353,44.109,3.896,72.058,42.821,32.591,32.892,4,67.136,32.04,50.421,15.232,53.044,-0.56,52.738,53.295,45.511,9320
2024,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,82.157,50.704,4.391,57.871,28.69,64.727,26.61,3,78.36,31.396,31.989,18.506,45.511,3.02,47.171,44.153,60.965,7996
2025,59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,84.723,23.7,5.88,56.849,24.889,54.256,31.864,2,67.4,44.278,61.537,20.958,60.965,1.83,61.973,60.141,,10712
2020,59680162B13073760931893,Gombi,Adamawa,North East,10.203,12.497,15435,0,96.867,32.042,4.016,66.572,61.42,65.886,20.113,2,51.133,27.006,48.266,11.332,44.597,3.08,46.289,43.213,54.841,6884
2021,59680162B13073760931893,Gombi,Adamawa,North East,10.203,12.497,15435,0,83.686,43.407,4.892,49.809,7.485,47.585,38.245,5,63.476,21.816,35.023,17.663,54.841,2.28,56.092,53.817,51.69,8465
2022,59680162B13073760931893,Gombi,Adamawa,North East,10.203,12.497,15435,0,93.625,33.071,4.929,47.735,24.561,25.181,29.511,1,62.052,37.655,61.576,13.703,51.69,-1.34,50.953,52.292,48.671,7978
2023,59680162B13073760931893,Gombi,Adamawa,North East,10.203,12.497,15435,0,79.229,29.365,3.232,72.206,59.973,35.024,24.204,6,45.892,14.618,52.863,16.319,48.671,1.94,49.739,47.797,51.715,7512
