poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,lga_id
3.217,0.342,-0.206,-0.767,1.348,1.93,1.937,-0.357,0.23,5.34,1.836,-0.055,59680162B14319741144045
-1.917,-3.782,-1.009,-1.717,-2.2,-0.588,-0.901,0.219,-0.227,-3.203,-0.497,-0.442,59680162B14374608149112
-0.978,-3.262,-0.668,-1.656,-2.505,0.964,-0.995,-0.933,0.535,-3.145,1.65,0.186,59680162B14396821090751
-1.347,-1.779,0.148,0.332,-0.703,0.056,1.842,-0.933,-0.278,0.105,0.493,0.059,59680162B14415495238729
-1.247,0.946,-0.172,-0.455,0.215,-1.323,-0.134,-0.357,0.111,-3.174,-0.079,-0.021,59680162B1443452948914
-2.421,-4.364,-0.854,-0.684,-1.531,-1.243,-1.482,-0.933,0.278,-3.203,-2.187,-0.424,59680162B14530293305891
2.354,-0.33,0.802,0.915,0.834,0.875,1.565,0.219,0.563,3.696,0.423,-0.165,59680162B14541309037731
-0.052,-0.534,-0.993,1.881,-0.599,-1.161,-0.758,3.674,0.904,0.199,0.642,-0.238,59680162B1470225488806
-1.542,-5.669,-0.873,0.695,-2.447,-0.338,-1.273,-0.357,-0.252,-3.203,-1.509,-0.725,59680162B1513568068009
1.185,2.325,1.296,1.43,0.02,1.804,1.797,0.795,0.431,1.154,1.889,0.044,59680162B15165581574851
2.911,3.195,0.014,-0.236,2.579,2.362,2.526,1.371,0.768,1.32,1.796,0.176,59680162B15311652495769
0.028,-0.269,-0.137,-0.763,-0.305,-0.727,-0.995,0.795,0.034,-2.354,0.872,-0.108,59680162B15317000449503
1.09,-4.816,-0.555,-0.647,-3.491,1.413,-0.697,-0.933,0.352,-2.499,0.377,-0.375,59680162B15406999540209
-3.213,-6.287,-1.401,-0.244,-3.116,-0.869,-2.709,-0.933,-0.217,-3.203,-2.335,-0.799,59680162B15532351721986
0.521,-3.012,-0.469,-0.794,0.479,-0.684,-0.165,-0.357,0.024,-2.263,-0.953,0.089,59680162B15951041920960
-1.079,-2.059,-1.245,-0.033,-1.585,-0.708,-0.503,-0.357,0.134,-2.248,-1.513,-0.344,59680162B15998169506024
-1.047,-3.062,-0.371,-0.471,-2.469,-1.109,-0.235,0.219,0.802,-3.203,-0.214,-0.149,59680162B16294292751838
-0.706,-0.744,-0.199,0.878,0.199,0.427,0.493,2.522,0.854,0.254,-0.521,0.125,59680162B1638752109374
1.333,3.597,-0.155,1.632,0.629,-2.114,0.611,-0.357,0.779,0.083,0.932,0.042,59680162B16574916896740
-0.863,-6.287,-0.252,-0.949,-1.92,-1.109,-0.244,0.795,-0.634,-3.203,-2.335,-0.253,59680162B16609728895319
-2.665,-2.998,-0.404,0.111,-1.895,-2.761,-1.452,-0.357,0.511,-3.203,-0.496,0.047,59680162B16701148271715
-1.887,-6.287,-0.013,-0.689,-1.259,-2.22,-1.128,-0.357,-0.777,-3.203,-2.335,-0.417,59680162B16893313163973
-2.98,-6.287,-1.488,-2.027,-2.402,-2.761,-2.709,-0.933,-0.225,-3.203,-1.856,0.139,59680162B16963737840115
0.359,-2.932,-0.359,-1.085,-0.344,-0.489,-2.373,-0.357,0.516,-3.203,-0.437,0.197,59680162B173222965225
2.724,1.496,1.228,-0.812,0.894,1.209,0.857,-0.357,0.051,-0.492,0.77,0.262,59680162B17489209533224
-0.561,-3.885,-0.654,-1.179,-2.179,-2.054,0.513,-0.357,0.331,-1.477,-0.516,0.188,59680162B17520648889441
-4.035,-6.287,-1.488,0.037,-3.679,-2.616,-2.28,-0.357,-0.433,-3.203,-2.108,-0.029,59680162B17555212909244
-2.867,-3.415,-0.813,-1.473,-2.193,-1.733,-1.848,-0.933,-0.52,-1.439,-2.107,-0.376,59680162B17719625697929
-3.159,-5.008,-1.017,0.047,-3.848,-1.947,-0.845,-0.933,-0.374,-2.597,-1.386,-0.945,59680162B17778966736574
-1.703,-2.899,-1.154,-1.644,-2.237,-2.761,-2.6,-0.933,-0.45,-3.203,-1.844,-0.118,59680162B17793632216798
-0.055,-1.391,-0.652,-0.473,-1.997,0.733,0.27,-0.933,0.05,-1.647,0.217,-0.638,59680162B17891920174093
-2.124,-6.287,-0.135,-1.669,-2.849,-2.264,-1.498,-0.933,-0.264,-3.203,-1.728,-0.29,59680162B18196869714953
-2.889,-5.076,-1.418,-0.687,-2.969,-2.761,-1.677,-0.933,0.017,-3.203,-2.335,-0.217,59680162B18488232241930
-1.625,-2.813,-1.488,-0.344,-2.826,-0.859,-2.709,-0.933,-0.205,-2.447,-2.064,-0.344,59680162B18578493945657
1.692,2.931,0.06,-0.237,2.411,1.345,1.558,-0.357,0.412,1.706,1.01,-0.039,59680162B18672795330723
-3.098,-5.09,-1.488,-1.108,-3.848,-2.544,-0.323,-0.933,-0.284,-3.203,-2.335,-0.5,59680162B18924931802221
-3.645,-6.287,-1.488,-1.342,-3.597,-2.761,-2.677,-0.357,0.122,-3.203,-2.195,-0.986,59680162B18977545928744
1.667,3.854,1.178,-0.626,2.104,0.279,-0.355,1.371,0.653,1.957,0.909,0.338,59680162B18982121994254
2.432,5.013,1.893,0.374,1.452,1.711,1.103,0.219,0.257,2.358,0.794,-0.023,59680162B1898458611197
-1.771,-6.287,-1.488,-0.617,0.097,-2.573,0.078,-0.357,0.23,-3.203,-1.34,-0.079,59680162B18997887117478
1.52,3.953,0.11,1.839,0.206,-0.138,2.538,-0.357,0.161,3.988,1.404,0.265,59680162B19163785016026
0.151,-1.54,-0.199,-1.134,-0.569,-0.799,-0.181,-0.357,-0.574,-3.203,-1.91,0.198,59680162B19335323694639
-1.799,-0.119,1.173,-0.262,1.042,0.518,-0.942,-0.357,-0.057,-1.854,-0.926,-0.063,59680162B1935816053049
-1.016,4.628,1.138,0.752,-0.308,-1.168,1.339,0.219,0.188,2.601,-0.007,0.269,59680162B19433829654146
-3.194,-3.395,-1.488,-1.925,-3.737,-2.761,-2.145,-0.933,-0.183,-3.203,-1.806,-0.516,59680162B19467626863877
3.445,4.471,1.121,0.759,0.645,3.773,0.726,-0.933,0.948,2.228,1.856,0.165,59680162B19484855656708
-2.225,-3.509,-0.276,-0.426,-3.848,-0.562,-0.915,-0.933,-0.378,-1.353,-2.335,-0.585,59680162B19485775159758
1.502,3.06,0.617,0.99,1.338,1.92,3.253,-0.933,0.492,4.82,0.598,0.142,59680162B19523503473687
2.696,2.895,1.028,1.28,1.509,1.593,2.746,-0.357,0.623,4.301,1.995,0.277,59680162B19536521240899
-2.347,-5.018,-1.201,-1.38,-0.391,-2.527,-0.871,0.219,-0.632,-3.203,-1.266,-0.095,59680162B19549725656045
3.329,3.32,1.439,0.583,2.41,3.496,0.226,-0.933,0.384,2.0,1.139,-0.197,59680162B19874744513454
2.117,4.936,1.132,1.505,1.433,1.188,2.129,0.219,0.485,5.22,0.586,0.236,59680162B20002653395444
2.256,2.127,0.494,-0.19,1.665,1.551,0.803,2.522,0.798,2.009,0.465,0.277,59680162B20020413332718
2.009,4.26,1.366,1.007,0.262,0.074,0.867,0.219,0.612,4.019,0.068,-0.077,59680162B20086286793745
-0.931,-4.868,-1.488,-0.703,-2.525,-2.694,-1.792,-0.357,-0.564,-3.203,-2.335,-0.469,59680162B2017456399117
0.178,3.088,-0.2,1.522,1.406,1.745,1.363,-0.933,0.492,1.477,-0.668,0.033,59680162B20254719160886
-0.356,2.316,0.019,-0.538,-0.834,0.326,-0.311,0.219,-0.19,-2.437,-1.234,0.301,59680162B20372712773645
-2.218,-4.544,0.005,-0.901,-0.279,-0.379,-1.607,-0.357,-0.506,-2.866,-0.299,-0.057,59680162B20429116941940
1.046,5.561,0.069,-1.177,1.51,0.99,2.892,-0.357,0.654,3.148,2.782,0.071,59680162B20432910054227
2.727,2.457,0.796,1.774,0.228,-0.555,0.475,2.522,0.858,1.698,1.583,0.176,59680162B20780696540875
1.792,2.604,1.826,1.799,0.881,2.419,1.844,0.795,0.721,4.862,1.339,-0.287,59680162B21010588258079
-2.166,-6.287,-0.908,-0.808,-1.106,-2.18,-0.013,-0.933,0.55,-3.203,-0.467,-0.451,59680162B21053239387442
-1.376,-6.287,-0.671,-1.024,-1.054,-1.181,-1.457,0.219,0.874,-3.203,-0.678,-0.347,59680162B21067903036313
-0.789,-3.828,-1.261,-1.538,-1.045,-0.5,-0.74,-0.933,0.498,-1.91,-0.642,-0.226,59680162B21074533395167
-2.437,-3.417,0.111,-0.521,-2.626,-2.761,-0.384,-0.933,-0.624,-2.198,-2.335,-0.276,59680162B21108805782195
-3.61,-6.287,-0.208,-0.821,-3.848,-2.592,-2.093,0.795,0.001,-1.046,-2.335,-0.654,59680162B21216344152794
-2.994,-5.993,-1.488,0.015,-0.245,-1.282,-1.078,-0.357,-0.167,-3.203,-2.269,-0.057,59680162B21365932465956
-3.995,-6.287,-0.345,-0.156,-2.65,-2.761,-1.018,-0.933,-0.496,-3.203,-2.335,0.007,59680162B21498960785654
1.537,2.747,-0.931,0.548,-0.121,-0.148,0.268,0.219,0.793,0.233,0.773,-0.03,59680162B21673152212894
0.968,3.765,0.034,1.5,0.757,-0.852,0.265,-0.357,0.468,-0.317,0.308,0.079,59680162B21692666530817
-4.559,-3.411,-0.706,-1.381,-1.076,-2.32,-1.078,-0.357,-0.571,-2.696,-1.36,-0.047,59680162B21986463159939
0.951,2.751,-0.479,1.72,1.484,-1.452,0.397,1.946,1.074,0.671,-0.553,0.107,59680162B22484757822523
-2.557,-4.611,0.044,-0.18,-0.777,-0.351,-0.502,-0.357,0.517,-2.847,-0.835,-0.022,59680162B22561739962750
-5.2,-6.014,-1.488,-0.747,-2.982,-2.761,-2.464,-0.357,-0.995,-3.203,-2.335,0.308,59680162B22633527707210
-3.325,-2.634,-0.44,0.278,-2.044,-2.761,-2.562,-0.933,-0.577,-3.203,-2.335,-0.597,59680162B2266540401620
-2.392,-3.757,-0.857,-0.826,-1.727,-0.972,-2.33,0.219,0.433,-3.06,-1.018,0.299,59680162B22876202690460
-4.45,-6.287,-1.488,-1.104,-2.769,-2.383,-0.684,-0.357,-0.038,-2.71,-1.638,-0.192,59680162B2298430697284
-1.836,-4.333,0.32,-0.228,-0.541,-0.675,-2.709,0.219,0.367,-3.203,-0.4,-0.137,59680162B23155718085687
-2.093,-6.287,-1.488,-0.712,-3.848,-2.761,-2.709,-0.933,0.065,-3.203,-2.131,0.15,59680162B23369049466603
-0.535,-6.287,-0.595,-1.28,-3.358,-2.207,-1.501,-0.933,-0.705,-2.951,-1.228,-0.028,59680162B2351853936587
-1.29,-6.287,-0.926,-1.492,-1.218,-2.761,-1.802,-0.933,0.21,-3.203,-2.335,-0.026,59680162B23543460253472
2.206,3.3,-0.274,0.099,1.911,2.746,0.992,1.371,0.189,0.85,1.822,-0.312,59680162B23595872951211
-0.359,-4.249,-0.505,-0.879,-1.311,-0.603,-2.424,0.795,-0.132,-3.203,-0.729,-0.459,59680162B23598949397905
-1.429,-4.307,0.721,-1.312,-1.772,-1.632,-1.502,-0.933,-0.273,-0.787,-2.335,-0.392,59680162B23671729796425
-3.681,-4.962,-1.249,-0.275,-3.234,-2.761,-2.709,-0.933,-0.807,-3.203,-0.956,-0.011,59680162B23843497952419
-0.62,-1.141,0.507,-0.666,0.712,-0.71,0.031,0.795,0.712,-0.455,0.939,-0.064,59680162B23949108035203
1.353,2.329,0.585,0.232,0.092,-1.732,-0.208,5.401,0.451,2.844,1.352,-0.087,59680162B23952502219543
1.345,3.513,0.725,1.112,2.128,3.074,2.77,0.219,1.304,1.344,2.607,0.195,59680162B23965546094498
0.515,-3.277,1.898,0.185,0.894,-0.3,-0.684,-0.357,-0.124,-0.388,-1.691,0.001,59680162B23991224305955
-1.63,-4.687,0.348,-2.418,-1.493,-2.513,-2.143,-0.933,-0.952,-3.203,-0.453,-0.233,59680162B24000905354670
0.832,4.641,0.315,0.333,0.484,2.624,0.769,0.795,0.767,3.936,1.048,-0.327,59680162B24147659958725
3.701,4.504,0.125,0.771,0.593,1.211,1.888,3.674,0.145,1.71,-0.751,0.127,59680162B24167581171767
3.511,3.725,0.683,0.199,0.688,3.499,1.733,0.219,0.523,0.974,0.174,-0.198,59680162B24203265637376
3.733,1.737,1.504,-0.512,1.975,-1.759,2.578,0.219,0.399,2.877,0.659,0.127,59680162B24316958669382
0.008,2.379,0.644,-0.054,2.128,0.323,1.567,1.946,1.292,-0.743,-0.286,-0.015,59680162B24409102010221
0.517,-0.099,1.744,1.173,0.798,2.622,-0.053,-0.357,0.577,1.43,-1.083,0.232,59680162B24430291126178
-0.155,-3.747,-1.182,-0.7,-0.61,0.401,0.053,-0.933,0.569,-3.203,-0.283,0.086,59680162B24434385919413
2.115,5.719,0.794,0.473,1.767,1.619,2.86,-0.933,0.62,3.273,1.826,0.038,59680162B24502748844916
2.897,4.208,0.755,0.498,0.8,1.332,1.72,-0.357,0.397,0.961,0.388,0.236,59680162B24550873512487
-1.561,-0.37,0.403,-0.605,0.477,0.582,0.939,-0.357,-0.6,-2.891,-0.048,-0.057,59680162B24636018787341
3.172,1.888,0.428,1.725,2.289,0.859,1.835,0.219,0.779,3.545,1.032,-0.224,59680162B24840578600877
-0.765,-0.467,-1.316,-0.902,-0.511,0.292,-0.948,0.219,0.397,-1.194,-0.888,-0.24,59680162B24857715869577
0.577,-2.792,-0.413,-1.645,-1.165,1.559,-0.87,-0.933,-0.502,-3.203,1.71,-0.286,59680162B25032665557199
2.067,2.12,-0.016,-0.4,0.04,-0.548,1.109,0.795,0.141,-0.386,-0.55,-0.259,59680162B2505789698133
-2.813,-6.287,-0.989,-0.928,-2.087,-2.573,-1.571,-0.933,-0.417,-3.203,-1.376,0.162,59680162B2512996274201
-2.165,-4.42,-0.93,-0.503,-2.776,-2.761,0.071,0.219,0.504,-1.92,-0.915,-0.376,59680162B25131261753844
-1.068,-5.547,-1.488,-1.796,1.092,-0.872,-0.472,-0.933,-0.459,-3.203,-0.609,0.105,59680162B25214275797379
1.711,1.559,0.825,0.401,1.741,0.266,1.051,0.795,-0.08,3.255,0.311,0.207,59680162B25309364748934
-1.123,-0.621,0.342,0.132,-0.582,-2.479,-2.48,-0.357,0.015,0.708,-0.117,0.044,59680162B25446485561557
2.82,6.779,0.951,1.544,1.637,0.359,0.731,-0.933,-0.026,0.193,0.45,-0.161,59680162B25728635468586
1.766,1.652,0.276,1.631,-0.437,0.202,0.661,-0.357,0.297,1.767,-0.463,0.279,59680162B25890229119009
2.615,1.479,0.513,0.27,-1.284,0.138,0.587,1.371,0.866,2.207,0.415,-0.384,59680162B26282391091652
1.189,-0.916,0.539,1.236,1.63,0.224,0.391,2.522,0.126,0.576,0.748,0.149,59680162B26521045145337
2.362,3.054,1.193,1.625,1.469,1.431,1.277,-0.357,0.424,3.153,1.499,0.056,59680162B26576505992161
-2.615,-0.151,0.287,0.113,-0.401,-1.139,-0.45,-0.357,0.773,0.382,-1.431,0.18,59680162B26648923761656
-4.958,-3.617,-0.925,-1.234,-3.386,-2.254,-2.544,-0.933,-0.553,-3.203,-2.159,-0.301,59680162B26854390786792
-1.736,-5.921,-1.083,0.485,0.32,-0.401,-0.967,-0.357,0.033,-2.573,-1.452,-0.579,59680162B26925253941931
2.214,3.472,0.735,0.699,-0.261,0.351,0.458,-0.357,0.929,3.648,1.158,-0.072,59680162B26946733152657
0.054,0.754,-0.128,1.276,1.646,-0.372,0.089,-0.933,0.537,3.339,2.786,0.297,59680162B27261417712833
-1.275,1.863,0.625,0.739,0.249,1.856,2.68,-0.357,0.214,1.997,1.271,0.343,59680162B27389948970996
2.27,0.408,-0.051,0.441,0.735,1.354,3.273,1.946,0.693,1.69,2.634,0.343,59680162B27422550871896
2.944,3.258,1.732,0.814,0.772,2.47,0.368,0.219,0.53,1.537,1.679,-0.121,59680162B27639129809368
-2.121,-4.958,-0.56,-0.13,-2.519,-0.887,0.704,-0.933,-0.482,-3.203,-1.255,0.057,59680162B27814311157346
3.802,3.371,0.842,0.477,2.369,0.861,2.08,1.946,0.919,1.775,1.652,-0.22,59680162B27876975276040
0.038,-4.069,-1.488,-1.455,-2.108,-0.928,-2.314,-0.357,0.828,-1.25,-0.123,0.109,59680162B27901935497545
0.524,3.717,1.392,0.313,-0.975,2.361,1.392,1.946,0.945,1.221,1.825,0.347,59680162B27926848768432
0.655,0.767,2.081,0.501,0.274,-0.519,0.465,1.371,0.225,1.175,0.7,0.141,59680162B28016750993437
1.79,-0.859,-0.792,1.62,1.05,0.24,-0.036,3.098,0.823,-0.041,0.566,0.191,59680162B28106531466158
-4.204,-6.287,-1.247,-2.267,-3.118,-2.761,-1.196,-0.933,0.086,-3.203,-2.335,-0.294,59680162B28193395760126
1.01,1.907,0.564,0.189,-0.557,0.756,2.115,0.795,0.323,0.08,-0.379,0.181,59680162B28239494939120
-2.448,-2.154,-0.233,-0.261,-3.732,-0.985,-1.354,-0.357,0.196,-3.203,0.06,-0.236,59680162B2835516393243
2.49,3.412,-0.337,1.437,0.597,0.379,2.34,0.219,0.384,0.935,0.043,0.049,59680162B28367664307560
2.124,0.77,1.0,0.245,1.681,0.596,1.781,0.219,0.152,1.565,2.28,-0.091,59680162B2846194934808
-3.93,-3.453,-1.39,-0.114,-2.71,-1.539,-1.738,-0.357,-0.152,-2.312,-0.91,0.265,59680162B28595276838631
-2.176,-6.287,-1.22,-1.777,-1.976,-2.761,-1.671,-0.933,-0.338,-3.203,-2.098,0.0,59680162B28606864431003
-4.654,-6.287,-0.78,-0.608,-2.686,-2.759,-1.496,-0.933,-0.106,-3.203,-2.335,-0.951,59680162B28710912427622
-3.442,-6.287,-1.488,-1.181,-2.341,-0.39,-2.709,-0.357,0.548,-3.203,-0.446,-0.495,59680162B28887917480980
-2.257,-3.967,-0.573,-0.366,-0.866,-1.443,-1.902,-0.357,0.81,-1.534,-0.014,-0.003,59680162B28903777440270
-2.981,-6.287,-0.675,0.718,-0.904,-1.624,-2.709,-0.933,0.239,-2.578,-2.213,0.275,59680162B2904770846082
-1.289,-3.459,-1.131,-0.595,-1.941,-0.81,-1.595,-0.357,0.307,-1.812,-2.335,-0.057,59680162B29085579275088
1.872,5.314,1.196,0.211,-1.076,2.262,2.261,1.371,0.914,1.58,1.294,0.21,59680162B29257457515537
-5.123,-6.287,-1.238,-1.137,-1.984,-2.761,0.409,-0.357,-0.275,-3.203,-0.349,0.214,59680162B29308605862653
-2.747,-6.287,-0.774,-0.938,-3.212,-2.51,-2.491,-0.933,-0.004,-3.203,-1.322,-0.064,59680162B29331014496737
-0.089,2.057,-0.737,0.357,1.011,0.599,2.003,-0.357,0.793,0.461,-0.027,-0.165,59680162B2944873791560
-2.863,-3.298,-0.46,-0.041,-1.162,-0.253,-0.174,-0.357,-0.346,-2.809,-1.272,-0.073,59680162B29524904273451
-3.521,-4.249,-1.488,-0.208,-2.708,-1.591,-0.962,-0.933,0.594,-3.203,-2.335,-0.022,59680162B29589714384573
1.532,2.359,0.976,0.761,0.827,1.84,1.257,-0.357,0.518,1.129,3.13,0.306,59680162B2967434957315
-0.696,-2.902,-0.719,-0.743,-0.415,-0.7,-0.165,-0.357,1.217,-3.203,-1.117,0.003,59680162B29680565367836
-5.308,-3.355,-1.122,-1.341,-2.732,-2.761,0.038,-0.933,0.055,-1.934,-2.335,-0.022,59680162B29721937623471
2.685,2.764,0.569,-0.295,-1.948,0.668,1.432,-0.357,0.047,-3.203,0.057,0.239,59680162B29829764060990
1.059,1.523,0.534,0.019,-0.454,-0.239,2.947,3.098,0.108,1.198,0.84,0.292,59680162B29995960925404
-1.735,-3.701,-1.418,-1.282,-0.705,-2.154,-0.855,-0.357,0.337,-1.561,-2.269,-0.236,59680162B30032590265448
-0.538,0.273,1.093,1.3,1.033,-0.028,0.826,0.795,1.064,-1.167,-0.29,0.214,59680162B30227281044650
2.805,3.964,0.652,0.639,-0.25,0.789,0.389,0.219,0.188,0.688,-0.074,0.287,59680162B30447030328077
-2.709,-4.396,-1.156,-2.267,-1.435,-2.351,-0.926,-0.933,0.895,-2.523,-0.72,-0.498,59680162B30593466404451
-2.391,-5.596,-1.368,-1.748,-2.854,-0.827,-1.644,-0.933,0.324,-2.241,-0.925,-0.108,59680162B30655337934726
-3.85,-6.287,-1.488,-2.267,-3.848,-2.116,-2.709,-0.933,-0.921,-3.203,-2.335,0.038,59680162B30693560799830
0.917,-2.577,-1.042,-0.759,-1.27,-1.59,0.641,-0.933,0.08,-2.391,-0.441,-0.017,59680162B30773772502776
-1.118,-3.537,-0.186,0.327,-2.148,-0.302,-1.556,-0.933,-0.17,-1.586,-1.806,0.295,59680162B30773939854921
-0.238,-4.961,-0.063,-0.573,-0.228,-1.426,-2.147,-0.357,0.384,-3.203,0.353,0.067,59680162B30816727026324
1.42,5.342,0.581,-0.038,0.699,1.152,2.033,3.674,0.475,-0.692,0.726,-0.069,59680162B30817931145163
1.564,1.234,1.168,0.286,0.925,1.082,2.958,1.946,0.545,1.684,1.759,0.181,59680162B30906229675123
-0.954,-6.287,-1.488,-0.007,-2.429,-2.761,-1.949,-0.933,-0.899,-3.038,-2.032,-0.065,59680162B31003411858547
2.988,7.592,0.773,1.122,0.182,1.698,2.554,-0.357,0.643,2.551,1.361,0.343,59680162B31064170938287
1.11,2.804,-0.308,0.799,0.891,2.248,1.138,4.826,0.898,0.008,0.362,0.274,59680162B31090464189446
-2.348,-6.287,-1.488,-1.526,-3.848,-2.51,-0.616,-0.933,-0.036,-2.215,-2.335,0.155,59680162B31217574251855
-2.331,-6.287,-1.344,-1.729,-3.521,-1.244,-2.479,-0.933,-0.736,-0.553,-0.943,0.154,59680162B31302026198632
-1.95,-6.287,-1.179,-1.502,-1.561,-2.761,-0.04,-0.933,-0.306,-3.203,-2.335,-0.481,59680162B31350853830247
1.813,4.336,1.061,1.288,1.084,2.202,3.834,0.795,0.574,5.07,0.268,0.187,59680162B31389051207927
-0.945,-4.288,-0.705,-0.986,-0.782,1.035,-0.939,-0.933,0.711,-3.203,-0.672,-0.201,59680162B31457176745984
-3.756,-4.342,-1.488,-0.939,-2.15,-2.761,-1.166,-0.933,-0.003,-3.203,-1.392,-0.259,59680162B31759462460359
3.75,0.768,0.464,0.181,0.965,1.403,1.467,1.371,0.819,2.093,1.942,0.178,59680162B31817043180897
1.579,1.68,0.215,-0.47,2.535,1.887,0.015,1.946,0.28,1.082,0.864,-0.094,59680162B31936578466171
-1.444,-6.287,-1.488,-1.837,-3.827,-1.844,-1.899,-0.357,0.132,-2.91,-2.335,0.184,59680162B3222658090770
-1.624,-4.885,-1.488,-0.8,0.168,-0.462,-1.962,0.219,-0.304,-2.654,0.019,-0.425,59680162B32427656470349
-1.545,-3.495,-0.139,-0.014,-2.553,-2.1,-0.618,-0.933,0.427,-0.119,-1.998,0.187,59680162B326996000256
0.314,3.182,-0.106,1.178,1.845,0.183,1.676,0.795,0.696,-1.609,0.539,-0.467,59680162B32850327292174
3.305,3.642,0.098,0.278,2.39,0.513,-0.04,1.371,0.569,0.476,1.125,-0.346,59680162B32856652540007
-1.109,-4.253,-1.085,-0.464,-1.617,-1.654,0.529,-0.933,-0.907,-3.203,-2.335,-0.494,59680162B32871052171758
-1.377,-5.523,-0.913,-0.545,-1.861,-1.094,0.175,-0.933,0.133,-3.203,-1.052,0.057,59680162B32979491305099
-3.519,-1.026,-1.488,0.052,-1.268,-2.693,-0.622,-0.357,-0.162,-3.203,-2.335,0.034,59680162B3302114520233
-2.75,-4.427,-1.184,-0.463,-1.76,-2.425,-2.709,-0.357,0.049,-3.203,-0.012,-1.256,59680162B33112577829488
